latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.21276,-45.50745,302.71,1.17,1.08,2025-06-27,0022,T,51,6.1NRT,289.02,8.03,N
-14.44562,-48.86554,340.23,2,1.38,2025-06-27,0022,T,100,6.1NRT,292.16,120.6,N
-14.44772,-48.884,311.69,2,1.38,2025-06-27,0022,T,83,6.1NRT,291.13,29.36,N
-14.43343,-48.86695,309.33,2,1.38,2025-06-27,0022,T,77,6.1NRT,290.6,26.84,N
-14.43549,-48.8852,304.88,2,1.38,2025-06-27,0022,T,62,6.1NRT,291.35,18.91,N
-13.58516,-45.25769,303.62,1.12,1.06,2025-06-27,0022,T,56,6.1NRT,289.25,7.91,N
-13.28664,-44.60455,307.17,1.05,1.02,2025-06-27,0022,T,71,6.1NRT,291.75,8.17,N
-12.71037,-43.14623,325.92,1,1,2025-06-27,0022,T,100,6.1NRT,292.95,23.06,N
-12.71162,-43.15523,303.01,1,1,2025-06-27,0022,T,53,6.1NRT,292.21,4.07,N
-12.77197,-44.40233,314.01,1.03,1.01,2025-06-27,0022,T,88,6.1NRT,291.39,13.07,N
-12.75418,-44.41073,328.57,1.03,1.01,2025-06-27,0022,T,100,6.1NRT,291.49,28.95,N
-12.75544,-44.42001,318.3,1.03,1.02,2025-06-27,0022,T,97,6.1NRT,291.35,17.57,N
-12.42991,-43.71679,344.16,1,1,2025-06-27,0022,T,100,6.1NRT,295.36,49.03,N
-12.43115,-43.7258,393.72,1,1,2025-06-27,0022,T,100,6.1NRT,299.74,216.84,N
-13.04582,-48.81066,314.82,1.89,1.34,2025-06-27,0022,T,90,6.1NRT,293.83,30.51,N
-13.0478,-48.82773,327.02,1.89,1.34,2025-06-27,0022,T,100,6.1NRT,294.16,61.46,N
-13.05139,-48.81659,318.16,1.89,1.34,2025-06-27,0022,T,96,6.1NRT,293.96,37.95,N
-13.0535,-48.83367,306.72,1.89,1.34,2025-06-27,0022,T,68,6.1NRT,293.27,15.7,N
-13.03954,-48.81816,318.11,1.89,1.34,2025-06-27,0022,T,96,6.1NRT,293.77,38.57,N
-13.04164,-48.83527,305.47,1.89,1.34,2025-06-27,0022,T,64,6.1NRT,293.07,14.54,N
-11.84161,-43.79955,322.85,1,1,2025-06-27,0022,T,100,6.1NRT,294.33,19.55,N
-22.9223,-43.75199,306.5,1.18,1.08,2025-06-27,0020,T,67,6.1NRT,294.83,7.54,N
-12.06902,-45.83129,300.9,1.15,1.07,2025-06-27,0022,T,35,6.1NRT,289.87,5.39,N
-11.77591,-45.21405,304.97,1.08,1.04,2025-06-27,0022,T,62,6.1NRT,292.53,6.34,N
-12.0067,-47.16499,323.03,1.38,1.16,2025-06-27,0022,T,100,6.1NRT,294.65,31.47,N
-22.92368,-43.76326,304.9,1.18,1.08,2025-06-27,0020,T,49,6.1NRT,294.53,6.24,N
-11.99483,-47.15402,304.53,1.38,1.16,2025-06-27,0022,T,51,6.1NRT,292.89,8.32,N
-22.90997,-43.73085,313.25,1.17,1.08,2025-06-27,0020,T,87,6.1NRT,294.32,14.18,N
-11.99642,-47.16637,315.13,1.38,1.16,2025-06-27,0022,T,91,6.1NRT,293.51,20.38,N
-22.91134,-43.7421,305.36,1.18,1.08,2025-06-27,0020,T,35,6.1NRT,294.44,6.64,N
-12.02962,-47.76898,330.6,1.52,1.22,2025-06-27,0022,T,100,6.1NRT,292.44,54.34,N
-21.58855,-41.28922,306.78,1,1,2025-06-27,0020,T,69,6.1NRT,289.99,8.36,N
-12.03127,-47.7824,328.1,1.53,1.22,2025-06-27,0022,T,100,6.1NRT,293.07,48.55,N
-21.58987,-41.29869,315.15,1,1,2025-06-27,0020,T,91,6.1NRT,290.62,14.49,N
-12.0454,-48.07983,317.27,1.6,1.25,2025-06-27,0022,T,95,6.1NRT,292.51,30.25,N
-20.24886,-40.23606,320.08,1.05,1.02,2025-06-27,0020,T,100,6.1NRT,292.8,19.11,N
-11.58828,-44.63808,310.69,1.03,1.01,2025-06-27,0022,T,81,6.1NRT,292.66,10.3,N
-20.25031,-40.24592,326.99,1.05,1.02,2025-06-27,0020,T,100,6.1NRT,292.42,24.9,N
-11.58954,-44.6473,322.5,1.03,1.01,2025-06-27,0022,T,100,6.1NRT,293.54,20.95,N
-20.23981,-40.2376,309.07,1.05,1.02,2025-06-27,0020,T,61,6.1NRT,292.35,8.59,N
-12.04224,-48.07203,303.05,1.6,1.25,2025-06-27,0022,T,53,6.1NRT,291.94,9.62,N
-20.24126,-40.24746,312.67,1.05,1.02,2025-06-27,0020,T,85,6.1NRT,292.04,11.36,N
-12.04407,-48.08637,303.53,1.6,1.25,2025-06-27,0022,T,56,6.1NRT,292.16,10.11,N
-20.2529,-46.74078,300.71,1.68,1.27,2025-06-27,0020,T,32,6.1NRT,288.96,11.9,N
-12.03414,-48.75322,306.5,1.8,1.32,2025-06-27,0022,T,68,6.1NRT,293.19,15.95,N
-18.7492,-40.07492,303.4,1.1,1.04,2025-06-27,0020,T,55,6.1NRT,290.21,6.55,N
-12.03777,-48.75842,303,1.8,1.32,2025-06-27,0022,T,53,6.1NRT,292.79,10.3,N
-11.36723,-48.70877,329.2,1.75,1.3,2025-06-27,0022,T,100,6.1NRT,295.36,60.42,N
-11.36921,-48.72449,303.37,1.75,1.3,2025-06-27,0022,T,53,6.1NRT,292.75,9.81,N
-11.14347,-47.03924,303.27,1.32,1.14,2025-06-27,0022,T,54,6.1NRT,291.13,7.68,N
-11.35579,-48.71027,315.45,1.75,1.3,2025-06-27,0022,T,91,6.1NRT,294.56,27.92,N
-11.5786,-52.1117,383.95,3.28,1.71,2025-06-27,0022,T,100,6.1NRT,297.13,955.41,N
-11.58174,-52.14115,335.94,3.3,1.72,2025-06-27,0022,T,100,6.1NRT,293.94,207.84,N
-11.57701,-52.08929,310.77,3.26,1.71,2025-06-27,0022,T,81,6.1NRT,292.24,56.32,N
-11.5803,-52.11813,378.52,3.28,1.71,2025-06-27,0022,T,100,6.1NRT,296.98,828.53,N
-11.58366,-52.14754,312.41,3.3,1.72,2025-06-27,0022,T,85,6.1NRT,293.28,63.18,N
-11.56521,-52.12006,336.45,3.28,1.71,2025-06-27,0022,T,100,6.1NRT,293.61,214.85,N
-10.64097,-46.70726,306.32,1.24,1.11,2025-06-27,0022,T,68,6.1NRT,291.42,8.53,N
-10.63118,-46.70849,302.95,1.24,1.11,2025-06-27,0022,T,47,6.1NRT,292.9,5.72,N
-10.27832,-47.61042,308.21,1.4,1.17,2025-06-27,0022,T,74,6.1NRT,292.49,12.62,N
-10.24476,-47.67876,303.05,1.42,1.18,2025-06-27,0022,T,53,6.1NRT,292.84,6.55,N
-10.82445,-53.74673,306.79,4.31,1.92,2025-06-27,0022,T,69,6.1NRT,291.47,59.31,N
-10.82051,-53.75225,303.74,4.31,1.92,2025-06-27,0022,T,57,6.1NRT,291.17,41.99,N
-9.87527,-48.04628,303.56,1.48,1.2,2025-06-27,0022,T,56,6.1NRT,292.44,8.48,N
-9.87695,-48.05948,302.63,1.49,1.2,2025-06-27,0022,T,50,6.1NRT,291.83,7.57,N
-9.82545,-48.37645,305.11,1.57,1.23,2025-06-27,0022,T,63,6.1NRT,293.35,8.85,N
-9.76125,-48.04069,305.83,1.48,1.2,2025-06-27,0022,T,66,6.1NRT,292.69,10.51,N
-9.75066,-48.04218,311.48,1.48,1.2,2025-06-27,0022,T,57,6.1NRT,292.73,15.97,N
-9.74608,-48.04871,307.02,1.48,1.2,2025-06-27,0022,T,70,6.1NRT,292.33,11.98,N
-9.37338,-47.62933,311.97,1.37,1.16,2025-06-27,0022,T,84,6.1NRT,293.75,15.85,N
-9.09257,-47.96807,306.82,1.43,1.18,2025-06-27,0022,T,69,6.1NRT,293.43,10.84,N
-9.12291,-49.43864,314.05,1.84,1.33,2025-06-27,0022,T,88,6.1NRT,294.88,27.65,N
-9.1112,-49.44019,309.43,1.84,1.33,2025-06-27,0022,T,77,6.1NRT,294.38,19.83,N
-9.07629,-49.41803,339.14,1.83,1.32,2025-06-27,0022,T,100,6.1NRT,296.22,98.82,N
-9.07837,-49.43418,337.92,1.83,1.33,2025-06-27,0022,T,100,6.1NRT,295.8,94.36,N
-9.06461,-49.41952,309.42,1.83,1.32,2025-06-27,0022,T,77,6.1NRT,294.56,19.78,N
-9.06666,-49.43564,329.48,1.83,1.33,2025-06-27,0022,T,100,6.1NRT,295.07,66.5,N
-8.30827,-44.8973,315.81,1.01,1,2025-06-27,0022,T,92,6.1NRT,294.21,12.58,N
